,Quarter,HB_x,HBT,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,HBName,Country
596,2017Q4,S92000003,S08000015,Colorectal,45.0,44.0,NHS Ayrshire and Arran,S92000003
597,2017Q4,S92000003,S08000015,Head & Neck,9.0,8.0,NHS Ayrshire and Arran,S92000003
598,2017Q4,S92000003,S08000015,Lung,23.0,22.0,NHS Ayrshire and Arran,S92000003
599,2017Q4,S92000003,S08000015,Lymphoma,5.0,3.0,NHS Ayrshire and Arran,S92000003
600,2017Q4,S92000003,S08000015,Melanoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
601,2017Q4,S92000003,S08000015,Ovarian,4.0,2.0,NHS Ayrshire and Arran,S92000003
602,2017Q4,S92000003,S08000015,Upper GI,26.0,25.0,NHS Ayrshire and Arran,S92000003
603,2017Q4,S92000003,S08000015,Urological,45.0,44.0,NHS Ayrshire and Arran,S92000003
604,2018Q1,S92000003,S08000015,Breast,75.0,74.0,NHS Ayrshire and Arran,S92000003
605,2018Q1,S92000003,S08000015,Cervical,4.0,4.0,NHS Ayrshire and Arran,S92000003
606,2018Q1,S92000003,S08000015,Colorectal,41.0,35.0,NHS Ayrshire and Arran,S92000003
607,2018Q1,S92000003,S08000015,Head & Neck,5.0,5.0,NHS Ayrshire and Arran,S92000003
608,2018Q1,S92000003,S08000015,Lung,23.0,22.0,NHS Ayrshire and Arran,S92000003
609,2018Q1,S92000003,S08000015,Melanoma,12.0,9.0,NHS Ayrshire and Arran,S92000003
610,2018Q1,S92000003,S08000015,Ovarian,4.0,4.0,NHS Ayrshire and Arran,S92000003
611,2018Q1,S92000003,S08000015,Upper GI,21.0,18.0,NHS Ayrshire and Arran,S92000003
612,2018Q1,S92000003,S08000015,Urological,32.0,29.0,NHS Ayrshire and Arran,S92000003
613,2018Q2,S92000003,S08000015,Breast,65.0,60.0,NHS Ayrshire and Arran,S92000003
614,2018Q2,S92000003,S08000015,Colorectal,32.0,27.0,NHS Ayrshire and Arran,S92000003
615,2018Q2,S92000003,S08000015,Head & Neck,8.0,8.0,NHS Ayrshire and Arran,S92000003
616,2018Q2,S92000003,S08000015,Lung,30.0,29.0,NHS Ayrshire and Arran,S92000003
617,2018Q2,S92000003,S08000015,Lymphoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
618,2018Q2,S92000003,S08000015,Melanoma,8.0,8.0,NHS Ayrshire and Arran,S92000003
619,2018Q2,S92000003,S08000015,Ovarian,5.0,5.0,NHS Ayrshire and Arran,S92000003
620,2018Q2,S92000003,S08000015,Upper GI,20.0,17.0,NHS Ayrshire and Arran,S92000003
621,2018Q2,S92000003,S08000015,Urological,47.0,42.0,NHS Ayrshire and Arran,S92000003
622,2018Q3,S92000003,S08000015,Breast,82.0,77.0,NHS Ayrshire and Arran,S92000003
623,2018Q3,S92000003,S08000015,Cervical,5.0,4.0,NHS Ayrshire and Arran,S92000003
624,2018Q3,S92000003,S08000015,Colorectal,38.0,26.0,NHS Ayrshire and Arran,S92000003
625,2018Q3,S92000003,S08000015,Head & Neck,4.0,3.0,NHS Ayrshire and Arran,S92000003
626,2018Q3,S92000003,S08000015,Lung,36.0,36.0,NHS Ayrshire and Arran,S92000003
627,2018Q3,S92000003,S08000015,Lymphoma,1.0,1.0,NHS Ayrshire and Arran,S92000003
628,2018Q3,S92000003,S08000015,Melanoma,10.0,8.0,NHS Ayrshire and Arran,S92000003
629,2018Q3,S92000003,S08000015,Ovarian,1.0,1.0,NHS Ayrshire and Arran,S92000003
630,2018Q3,S92000003,S08000015,Upper GI,21.0,16.0,NHS Ayrshire and Arran,S92000003
631,2018Q3,S92000003,S08000015,Urological,40.0,39.0,NHS Ayrshire and Arran,S92000003
632,2018Q4,S92000003,S08000015,Breast,91.0,86.0,NHS Ayrshire and Arran,S92000003
633,2018Q4,S92000003,S08000015,Cervical,3.0,3.0,NHS Ayrshire and Arran,S92000003
634,2018Q4,S92000003,S08000015,Colorectal,52.0,32.0,NHS Ayrshire and Arran,S92000003
635,2018Q4,S92000003,S08000015,Head & Neck,13.0,11.0,NHS Ayrshire and Arran,S92000003
636,2018Q4,S92000003,S08000015,Lung,43.0,41.0,NHS Ayrshire and Arran,S92000003
637,2018Q4,S92000003,S08000015,Lymphoma,1.0,1.0,NHS Ayrshire and Arran,S92000003
638,2018Q4,S92000003,S08000015,Melanoma,9.0,8.0,NHS Ayrshire and Arran,S92000003
639,2018Q4,S92000003,S08000015,Upper GI,27.0,24.0,NHS Ayrshire and Arran,S92000003
640,2018Q4,S92000003,S08000015,Urological,32.0,29.0,NHS Ayrshire and Arran,S92000003
641,2019Q1,S92000003,S08000015,Breast,76.0,58.0,NHS Ayrshire and Arran,S92000003
642,2019Q1,S92000003,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,S92000003
643,2019Q1,S92000003,S08000015,Colorectal,33.0,20.0,NHS Ayrshire and Arran,S92000003
644,2019Q1,S92000003,S08000015,Head & Neck,5.0,5.0,NHS Ayrshire and Arran,S92000003
645,2019Q1,S92000003,S08000015,Lung,40.0,40.0,NHS Ayrshire and Arran,S92000003
646,2019Q1,S92000003,S08000015,Lymphoma,3.0,3.0,NHS Ayrshire and Arran,S92000003
647,2019Q1,S92000003,S08000015,Melanoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
648,2019Q1,S92000003,S08000015,Ovarian,5.0,5.0,NHS Ayrshire and Arran,S92000003
649,2019Q1,S92000003,S08000015,Upper GI,20.0,18.0,NHS Ayrshire and Arran,S92000003
650,2019Q1,S92000003,S08000015,Urological,44.0,41.0,NHS Ayrshire and Arran,S92000003
651,2019Q2,S92000003,S08000015,Breast,84.0,65.0,NHS Ayrshire and Arran,S92000003
652,2019Q2,S92000003,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
653,2019Q2,S92000003,S08000015,Colorectal,43.0,26.0,NHS Ayrshire and Arran,S92000003
654,2019Q2,S92000003,S08000015,Head & Neck,4.0,3.0,NHS Ayrshire and Arran,S92000003
655,2019Q2,S92000003,S08000015,Lung,34.0,32.0,NHS Ayrshire and Arran,S92000003
656,2019Q2,S92000003,S08000015,Lymphoma,3.0,3.0,NHS Ayrshire and Arran,S92000003
657,2019Q2,S92000003,S08000015,Melanoma,14.0,12.0,NHS Ayrshire and Arran,S92000003
658,2019Q2,S92000003,S08000015,Ovarian,5.0,5.0,NHS Ayrshire and Arran,S92000003
659,2019Q2,S92000003,S08000015,Upper GI,21.0,18.0,NHS Ayrshire and Arran,S92000003
660,2019Q2,S92000003,S08000015,Urological,53.0,53.0,NHS Ayrshire and Arran,S92000003
661,2019Q3,S92000003,S08000015,Breast,92.0,85.0,NHS Ayrshire and Arran,S92000003
662,2019Q3,S92000003,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
663,2019Q3,S92000003,S08000015,Colorectal,51.0,36.0,NHS Ayrshire and Arran,S92000003
664,2019Q3,S92000003,S08000015,Head & Neck,9.0,8.0,NHS Ayrshire and Arran,S92000003
665,2019Q3,S92000003,S08000015,Lung,45.0,45.0,NHS Ayrshire and Arran,S92000003
666,2019Q3,S92000003,S08000015,Lymphoma,7.0,5.0,NHS Ayrshire and Arran,S92000003
667,2019Q3,S92000003,S08000015,Melanoma,7.0,6.0,NHS Ayrshire and Arran,S92000003
668,2019Q3,S92000003,S08000015,Ovarian,2.0,2.0,NHS Ayrshire and Arran,S92000003
669,2019Q3,S92000003,S08000015,Upper GI,27.0,23.0,NHS Ayrshire and Arran,S92000003
670,2019Q3,S92000003,S08000015,Urological,25.0,25.0,NHS Ayrshire and Arran,S92000003
671,2019Q4,S92000003,S08000015,Breast,82.0,77.0,NHS Ayrshire and Arran,S92000003
672,2019Q4,S92000003,S08000015,Cervical,4.0,4.0,NHS Ayrshire and Arran,S92000003
673,2019Q4,S92000003,S08000015,Colorectal,27.0,20.0,NHS Ayrshire and Arran,S92000003
674,2019Q4,S92000003,S08000015,Head & Neck,5.0,5.0,NHS Ayrshire and Arran,S92000003
675,2019Q4,S92000003,S08000015,Lung,33.0,32.0,NHS Ayrshire and Arran,S92000003
676,2019Q4,S92000003,S08000015,Lymphoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
677,2019Q4,S92000003,S08000015,Melanoma,12.0,7.0,NHS Ayrshire and Arran,S92000003
678,2019Q4,S92000003,S08000015,Ovarian,3.0,3.0,NHS Ayrshire and Arran,S92000003
679,2019Q4,S92000003,S08000015,Upper GI,27.0,22.0,NHS Ayrshire and Arran,S92000003
680,2019Q4,S92000003,S08000015,Urological,31.0,30.0,NHS Ayrshire and Arran,S92000003
681,2020Q1,S92000003,S08000015,Breast,102.0,99.0,NHS Ayrshire and Arran,S92000003
682,2020Q1,S92000003,S08000015,Colorectal,35.0,26.0,NHS Ayrshire and Arran,S92000003
683,2020Q1,S92000003,S08000015,Head & Neck,3.0,3.0,NHS Ayrshire and Arran,S92000003
684,2020Q1,S92000003,S08000015,Lung,30.0,30.0,NHS Ayrshire and Arran,S92000003
685,2020Q1,S92000003,S08000015,Lymphoma,6.0,4.0,NHS Ayrshire and Arran,S92000003
686,2020Q1,S92000003,S08000015,Melanoma,13.0,13.0,NHS Ayrshire and Arran,S92000003
687,2020Q1,S92000003,S08000015,Upper GI,33.0,29.0,NHS Ayrshire and Arran,S92000003
688,2020Q1,S92000003,S08000015,Urological,41.0,41.0,NHS Ayrshire and Arran,S92000003
689,2020Q2,S92000003,S08000015,Breast,37.0,32.0,NHS Ayrshire and Arran,S92000003
690,2020Q2,S92000003,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
691,2020Q2,S92000003,S08000015,Colorectal,19.0,17.0,NHS Ayrshire and Arran,S92000003
692,2020Q2,S92000003,S08000015,Head & Neck,2.0,2.0,NHS Ayrshire and Arran,S92000003
693,2020Q2,S92000003,S08000015,Lung,16.0,16.0,NHS Ayrshire and Arran,S92000003
694,2020Q2,S92000003,S08000015,Lymphoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
695,2020Q2,S92000003,S08000015,Melanoma,10.0,9.0,NHS Ayrshire and Arran,S92000003
696,2020Q2,S92000003,S08000015,Ovarian,5.0,5.0,NHS Ayrshire and Arran,S92000003
697,2020Q2,S92000003,S08000015,Upper GI,30.0,30.0,NHS Ayrshire and Arran,S92000003
698,2020Q2,S92000003,S08000015,Urological,43.0,42.0,NHS Ayrshire and Arran,S92000003
699,2020Q3,S92000003,S08000015,Breast,32.0,28.0,NHS Ayrshire and Arran,S92000003
700,2020Q3,S92000003,S08000015,Colorectal,21.0,18.0,NHS Ayrshire and Arran,S92000003
701,2020Q3,S92000003,S08000015,Head & Neck,7.0,7.0,NHS Ayrshire and Arran,S92000003
702,2020Q3,S92000003,S08000015,Lung,40.0,40.0,NHS Ayrshire and Arran,S92000003
703,2020Q3,S92000003,S08000015,Lymphoma,7.0,7.0,NHS Ayrshire and Arran,S92000003
704,2020Q3,S92000003,S08000015,Melanoma,11.0,11.0,NHS Ayrshire and Arran,S92000003
705,2020Q3,S92000003,S08000015,Ovarian,1.0,1.0,NHS Ayrshire and Arran,S92000003
706,2020Q3,S92000003,S08000015,Upper GI,31.0,30.0,NHS Ayrshire and Arran,S92000003
707,2020Q3,S92000003,S08000015,Urological,25.0,24.0,NHS Ayrshire and Arran,S92000003
708,2020Q4,S92000003,S08000015,Breast,72.0,53.0,NHS Ayrshire and Arran,S92000003
709,2020Q4,S92000003,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,S92000003
710,2020Q4,S92000003,S08000015,Colorectal,26.0,20.0,NHS Ayrshire and Arran,S92000003
711,2020Q4,S92000003,S08000015,Head & Neck,7.0,7.0,NHS Ayrshire and Arran,S92000003
712,2020Q4,S92000003,S08000015,Lung,35.0,35.0,NHS Ayrshire and Arran,S92000003
713,2020Q4,S92000003,S08000015,Lymphoma,5.0,3.0,NHS Ayrshire and Arran,S92000003
714,2020Q4,S92000003,S08000015,Melanoma,9.0,8.0,NHS Ayrshire and Arran,S92000003
715,2020Q4,S92000003,S08000015,Ovarian,1.0,1.0,NHS Ayrshire and Arran,S92000003
716,2020Q4,S92000003,S08000015,Upper GI,33.0,31.0,NHS Ayrshire and Arran,S92000003
717,2020Q4,S92000003,S08000015,Urological,35.0,33.0,NHS Ayrshire and Arran,S92000003
718,2021Q1,S92000003,S08000015,Breast,91.0,54.0,NHS Ayrshire and Arran,S92000003
719,2021Q1,S92000003,S08000015,Cervical,5.0,5.0,NHS Ayrshire and Arran,S92000003
720,2021Q1,S92000003,S08000015,Colorectal,28.0,23.0,NHS Ayrshire and Arran,S92000003
721,2021Q1,S92000003,S08000015,Head & Neck,4.0,4.0,NHS Ayrshire and Arran,S92000003
722,2021Q1,S92000003,S08000015,Lung,32.0,32.0,NHS Ayrshire and Arran,S92000003
723,2021Q1,S92000003,S08000015,Lymphoma,3.0,2.0,NHS Ayrshire and Arran,S92000003
724,2021Q1,S92000003,S08000015,Melanoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
725,2021Q1,S92000003,S08000015,Ovarian,4.0,4.0,NHS Ayrshire and Arran,S92000003
726,2021Q1,S92000003,S08000015,Upper GI,22.0,19.0,NHS Ayrshire and Arran,S92000003
727,2021Q1,S92000003,S08000015,Urological,30.0,30.0,NHS Ayrshire and Arran,S92000003
728,2021Q2,S92000003,S08000015,Breast,89.0,61.0,NHS Ayrshire and Arran,S92000003
729,2021Q2,S92000003,S08000015,Colorectal,43.0,39.0,NHS Ayrshire and Arran,S92000003
730,2021Q2,S92000003,S08000015,Head & Neck,5.0,5.0,NHS Ayrshire and Arran,S92000003
731,2021Q2,S92000003,S08000015,Lung,35.0,35.0,NHS Ayrshire and Arran,S92000003
732,2021Q2,S92000003,S08000015,Lymphoma,8.0,8.0,NHS Ayrshire and Arran,S92000003
733,2021Q2,S92000003,S08000015,Melanoma,10.0,10.0,NHS Ayrshire and Arran,S92000003
734,2021Q2,S92000003,S08000015,Upper GI,38.0,38.0,NHS Ayrshire and Arran,S92000003
735,2021Q2,S92000003,S08000015,Urological,48.0,48.0,NHS Ayrshire and Arran,S92000003
736,2021Q3,S92000003,S08000015,Breast,79.0,54.0,NHS Ayrshire and Arran,S92000003
737,2021Q3,S92000003,S08000015,Colorectal,48.0,43.0,NHS Ayrshire and Arran,S92000003
738,2021Q3,S92000003,S08000015,Head & Neck,5.0,5.0,NHS Ayrshire and Arran,S92000003
739,2021Q3,S92000003,S08000015,Lung,28.0,28.0,NHS Ayrshire and Arran,S92000003
740,2021Q3,S92000003,S08000015,Lymphoma,9.0,9.0,NHS Ayrshire and Arran,S92000003
741,2021Q3,S92000003,S08000015,Melanoma,13.0,12.0,NHS Ayrshire and Arran,S92000003
742,2021Q3,S92000003,S08000015,Ovarian,2.0,2.0,NHS Ayrshire and Arran,S92000003
743,2021Q3,S92000003,S08000015,Upper GI,21.0,18.0,NHS Ayrshire and Arran,S92000003
744,2021Q3,S92000003,S08000015,Urological,28.0,28.0,NHS Ayrshire and Arran,S92000003
745,2012Q1,S08000015,S08000015,All Cancer Types,169.0,164.0,NHS Ayrshire and Arran,S92000003
746,2012Q2,S08000015,S08000015,All Cancer Types,203.0,197.0,NHS Ayrshire and Arran,S92000003
747,2012Q3,S08000015,S08000015,All Cancer Types,201.0,195.0,NHS Ayrshire and Arran,S92000003
748,2012Q4,S08000015,S08000015,All Cancer Types,220.0,212.0,NHS Ayrshire and Arran,S92000003
749,2013Q1,S08000015,S08000015,All Cancer Types,232.0,228.0,NHS Ayrshire and Arran,S92000003
750,2013Q2,S08000015,S08000015,All Cancer Types,261.0,253.0,NHS Ayrshire and Arran,S92000003
751,2013Q3,S08000015,S08000015,All Cancer Types,240.0,233.0,NHS Ayrshire and Arran,S92000003
752,2013Q4,S08000015,S08000015,All Cancer Types,250.0,245.0,NHS Ayrshire and Arran,S92000003
753,2014Q1,S08000015,S08000015,All Cancer Types,210.0,207.0,NHS Ayrshire and Arran,S92000003
754,2014Q1,S08000016,S08000015,All Cancer Types,1.0,1.0,NHS Ayrshire and Arran,S92000003
755,2014Q2,S08000015,S08000015,All Cancer Types,227.0,217.0,NHS Ayrshire and Arran,S92000003
756,2014Q3,S08000015,S08000015,All Cancer Types,237.0,231.0,NHS Ayrshire and Arran,S92000003
757,2014Q4,S08000015,S08000015,All Cancer Types,232.0,222.0,NHS Ayrshire and Arran,S92000003
758,2015Q1,S08000015,S08000015,All Cancer Types,239.0,226.0,NHS Ayrshire and Arran,S92000003
759,2015Q2,S08000015,S08000015,All Cancer Types,254.0,247.0,NHS Ayrshire and Arran,S92000003
760,2015Q3,S08000015,S08000015,All Cancer Types,203.0,196.0,NHS Ayrshire and Arran,S92000003
761,2015Q4,S08000015,S08000015,All Cancer Types,227.0,217.0,NHS Ayrshire and Arran,S92000003
762,2016Q1,S08000015,S08000015,All Cancer Types,206.0,193.0,NHS Ayrshire and Arran,S92000003
763,2016Q2,S08000015,S08000015,All Cancer Types,216.0,201.0,NHS Ayrshire and Arran,S92000003
764,2016Q3,S08000015,S08000015,All Cancer Types,228.0,218.0,NHS Ayrshire and Arran,S92000003
765,2016Q4,S08000015,S08000015,All Cancer Types,235.0,224.0,NHS Ayrshire and Arran,S92000003
766,2017Q1,S08000015,S08000015,All Cancer Types,214.0,205.0,NHS Ayrshire and Arran,S92000003
767,2017Q2,S08000015,S08000015,All Cancer Types,238.0,226.0,NHS Ayrshire and Arran,S92000003
768,2017Q3,S08000015,S08000015,All Cancer Types,256.0,238.0,NHS Ayrshire and Arran,S92000003
769,2017Q4,S08000015,S08000015,All Cancer Types,250.0,241.0,NHS Ayrshire and Arran,S92000003
770,2018Q1,S08000015,S08000015,All Cancer Types,217.0,200.0,NHS Ayrshire and Arran,S92000003
771,2018Q2,S08000015,S08000015,All Cancer Types,220.0,201.0,NHS Ayrshire and Arran,S92000003
772,2018Q3,S08000015,S08000015,All Cancer Types,237.0,210.0,NHS Ayrshire and Arran,S92000003
773,2018Q3,S08000017,S08000015,All Cancer Types,1.0,1.0,NHS Ayrshire and Arran,S92000003
774,2018Q4,S08000015,S08000015,All Cancer Types,271.0,235.0,NHS Ayrshire and Arran,S92000003
775,2019Q1,S08000015,S08000015,All Cancer Types,233.0,197.0,NHS Ayrshire and Arran,S92000003
776,2019Q2,S08000015,S08000015,All Cancer Types,262.0,218.0,NHS Ayrshire and Arran,S92000003
777,2019Q3,S08000015,S08000015,All Cancer Types,266.0,236.0,NHS Ayrshire and Arran,S92000003
778,2019Q4,S08000015,S08000015,All Cancer Types,230.0,206.0,NHS Ayrshire and Arran,S92000003
779,2020Q1,S08000015,S08000015,All Cancer Types,262.0,244.0,NHS Ayrshire and Arran,S92000003
780,2020Q1,S08000032,S08000015,All Cancer Types,1.0,1.0,NHS Ayrshire and Arran,S92000003
781,2020Q2,S08000015,S08000015,All Cancer Types,168.0,159.0,NHS Ayrshire and Arran,S92000003
782,2020Q3,S08000015,S08000015,All Cancer Types,175.0,166.0,NHS Ayrshire and Arran,S92000003
783,2020Q4,S08000015,S08000015,All Cancer Types,225.0,193.0,NHS Ayrshire and Arran,S92000003
784,2021Q1,S08000015,S08000015,All Cancer Types,224.0,178.0,NHS Ayrshire and Arran,S92000003
785,2021Q1,S08000031,S08000015,All Cancer Types,1.0,1.0,NHS Ayrshire and Arran,S92000003
786,2021Q2,S08000015,S08000015,All Cancer Types,275.0,243.0,NHS Ayrshire and Arran,S92000003
787,2021Q2,S08000029,S08000015,All Cancer Types,1.0,1.0,NHS Ayrshire and Arran,S92000003
788,2021Q3,S08000015,S08000015,All Cancer Types,233.0,199.0,NHS Ayrshire and Arran,S92000003
789,2012Q1,S92000003,S08000015,All Cancer Types,169.0,164.0,NHS Ayrshire and Arran,S92000003
790,2012Q2,S92000003,S08000015,All Cancer Types,203.0,197.0,NHS Ayrshire and Arran,S92000003
791,2012Q3,S92000003,S08000015,All Cancer Types,201.0,195.0,NHS Ayrshire and Arran,S92000003
792,2012Q4,S92000003,S08000015,All Cancer Types,220.0,212.0,NHS Ayrshire and Arran,S92000003
793,2013Q1,S92000003,S08000015,All Cancer Types,232.0,228.0,NHS Ayrshire and Arran,S92000003
794,2013Q2,S92000003,S08000015,All Cancer Types,261.0,253.0,NHS Ayrshire and Arran,S92000003
795,2013Q3,S92000003,S08000015,All Cancer Types,240.0,233.0,NHS Ayrshire and Arran,S92000003
796,2013Q4,S92000003,S08000015,All Cancer Types,250.0,245.0,NHS Ayrshire and Arran,S92000003
797,2014Q1,S92000003,S08000015,All Cancer Types,211.0,208.0,NHS Ayrshire and Arran,S92000003
798,2014Q2,S92000003,S08000015,All Cancer Types,227.0,217.0,NHS Ayrshire and Arran,S92000003
799,2014Q3,S92000003,S08000015,All Cancer Types,237.0,231.0,NHS Ayrshire and Arran,S92000003
800,2014Q4,S92000003,S08000015,All Cancer Types,232.0,222.0,NHS Ayrshire and Arran,S92000003
801,2015Q1,S92000003,S08000015,All Cancer Types,239.0,226.0,NHS Ayrshire and Arran,S92000003
802,2015Q2,S92000003,S08000015,All Cancer Types,254.0,247.0,NHS Ayrshire and Arran,S92000003
803,2015Q3,S92000003,S08000015,All Cancer Types,203.0,196.0,NHS Ayrshire and Arran,S92000003
804,2015Q4,S92000003,S08000015,All Cancer Types,227.0,217.0,NHS Ayrshire and Arran,S92000003
805,2016Q1,S92000003,S08000015,All Cancer Types,206.0,193.0,NHS Ayrshire and Arran,S92000003
806,2016Q2,S92000003,S08000015,All Cancer Types,216.0,201.0,NHS Ayrshire and Arran,S92000003
807,2016Q3,S92000003,S08000015,All Cancer Types,228.0,218.0,NHS Ayrshire and Arran,S92000003
808,2016Q4,S92000003,S08000015,All Cancer Types,235.0,224.0,NHS Ayrshire and Arran,S92000003
809,2017Q1,S92000003,S08000015,All Cancer Types,214.0,205.0,NHS Ayrshire and Arran,S92000003
810,2017Q2,S92000003,S08000015,All Cancer Types,238.0,226.0,NHS Ayrshire and Arran,S92000003
811,2017Q3,S92000003,S08000015,All Cancer Types,256.0,238.0,NHS Ayrshire and Arran,S92000003
812,2017Q4,S92000003,S08000015,All Cancer Types,250.0,241.0,NHS Ayrshire and Arran,S92000003
813,2018Q1,S92000003,S08000015,All Cancer Types,217.0,200.0,NHS Ayrshire and Arran,S92000003
814,2018Q2,S92000003,S08000015,All Cancer Types,220.0,201.0,NHS Ayrshire and Arran,S92000003
815,2018Q3,S92000003,S08000015,All Cancer Types,238.0,211.0,NHS Ayrshire and Arran,S92000003
816,2018Q4,S92000003,S08000015,All Cancer Types,271.0,235.0,NHS Ayrshire and Arran,S92000003
817,2019Q1,S92000003,S08000015,All Cancer Types,233.0,197.0,NHS Ayrshire and Arran,S92000003
818,2019Q2,S92000003,S08000015,All Cancer Types,262.0,218.0,NHS Ayrshire and Arran,S92000003
819,2019Q3,S92000003,S08000015,All Cancer Types,266.0,236.0,NHS Ayrshire and Arran,S92000003
820,2019Q4,S92000003,S08000015,All Cancer Types,230.0,206.0,NHS Ayrshire and Arran,S92000003
821,2020Q1,S92000003,S08000015,All Cancer Types,263.0,245.0,NHS Ayrshire and Arran,S92000003
822,2020Q2,S92000003,S08000015,All Cancer Types,168.0,159.0,NHS Ayrshire and Arran,S92000003
823,2020Q3,S92000003,S08000015,All Cancer Types,175.0,166.0,NHS Ayrshire and Arran,S92000003
824,2020Q4,S92000003,S08000015,All Cancer Types,225.0,193.0,NHS Ayrshire and Arran,S92000003
825,2021Q1,S92000003,S08000015,All Cancer Types,225.0,179.0,NHS Ayrshire and Arran,S92000003
826,2021Q2,S92000003,S08000015,All Cancer Types,276.0,244.0,NHS Ayrshire and Arran,S92000003
827,2021Q3,S92000003,S08000015,All Cancer Types,233.0,199.0,NHS Ayrshire and Arran,S92000003
828,2020Q4,S08000015,S08000015,Breast,72.0,53.0,NHS Ayrshire and Arran,S92000003
829,2020Q4,S08000015,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,S92000003
830,2020Q4,S08000015,S08000015,Colorectal,26.0,20.0,NHS Ayrshire and Arran,S92000003
831,2020Q4,S08000015,S08000015,Head & Neck,7.0,7.0,NHS Ayrshire and Arran,S92000003
832,2020Q4,S08000015,S08000015,Lung,35.0,35.0,NHS Ayrshire and Arran,S92000003
833,2020Q4,S08000015,S08000015,Lymphoma,5.0,3.0,NHS Ayrshire and Arran,S92000003
834,2020Q4,S08000015,S08000015,Melanoma,9.0,8.0,NHS Ayrshire and Arran,S92000003
835,2020Q4,S08000015,S08000015,Ovarian,1.0,1.0,NHS Ayrshire and Arran,S92000003
836,2020Q4,S08000015,S08000015,Upper GI,33.0,31.0,NHS Ayrshire and Arran,S92000003
837,2020Q4,S08000015,S08000015,Urological,35.0,33.0,NHS Ayrshire and Arran,S92000003
838,2020Q4,S92000003,S08000015,Breast,72.0,53.0,NHS Ayrshire and Arran,S92000003
839,2020Q4,S92000003,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,S92000003
840,2020Q4,S92000003,S08000015,Colorectal,26.0,20.0,NHS Ayrshire and Arran,S92000003
841,2020Q4,S92000003,S08000015,Head & Neck,7.0,7.0,NHS Ayrshire and Arran,S92000003
842,2020Q4,S92000003,S08000015,Lung,35.0,35.0,NHS Ayrshire and Arran,S92000003
843,2020Q4,S92000003,S08000015,Lymphoma,5.0,3.0,NHS Ayrshire and Arran,S92000003
844,2020Q4,S92000003,S08000015,Melanoma,9.0,8.0,NHS Ayrshire and Arran,S92000003
845,2020Q4,S92000003,S08000015,Ovarian,1.0,1.0,NHS Ayrshire and Arran,S92000003
846,2020Q4,S92000003,S08000015,Upper GI,33.0,31.0,NHS Ayrshire and Arran,S92000003
847,2020Q4,S92000003,S08000015,Urological,35.0,33.0,NHS Ayrshire and Arran,S92000003
848,2020Q4,S08000015,S08000015,All Cancer Types,225.0,193.0,NHS Ayrshire and Arran,S92000003
849,2020Q4,S92000003,S08000015,All Cancer Types,225.0,193.0,NHS Ayrshire and Arran,S92000003
850,2021Q1,S08000015,S08000015,Breast,90.0,53.0,NHS Ayrshire and Arran,S92000003
851,2021Q1,S08000015,S08000015,Cervical,5.0,5.0,NHS Ayrshire and Arran,S92000003
852,2021Q1,S08000015,S08000015,Colorectal,28.0,23.0,NHS Ayrshire and Arran,S92000003
853,2021Q1,S08000015,S08000015,Head & Neck,4.0,4.0,NHS Ayrshire and Arran,S92000003
854,2021Q1,S08000015,S08000015,Lung,32.0,32.0,NHS Ayrshire and Arran,S92000003
855,2021Q1,S08000015,S08000015,Lymphoma,3.0,2.0,NHS Ayrshire and Arran,S92000003
856,2021Q1,S08000015,S08000015,Melanoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
857,2021Q1,S08000015,S08000015,Ovarian,4.0,4.0,NHS Ayrshire and Arran,S92000003
858,2021Q1,S08000015,S08000015,Upper GI,22.0,19.0,NHS Ayrshire and Arran,S92000003
859,2021Q1,S08000015,S08000015,Urological,30.0,30.0,NHS Ayrshire and Arran,S92000003
860,2021Q1,S08000031,S08000015,Breast,1.0,1.0,NHS Ayrshire and Arran,S92000003
861,2021Q1,S92000003,S08000015,Breast,91.0,54.0,NHS Ayrshire and Arran,S92000003
862,2021Q1,S92000003,S08000015,Cervical,5.0,5.0,NHS Ayrshire and Arran,S92000003
863,2021Q1,S92000003,S08000015,Colorectal,28.0,23.0,NHS Ayrshire and Arran,S92000003
864,2021Q1,S92000003,S08000015,Head & Neck,4.0,4.0,NHS Ayrshire and Arran,S92000003
865,2021Q1,S92000003,S08000015,Lung,32.0,32.0,NHS Ayrshire and Arran,S92000003
866,2021Q1,S92000003,S08000015,Lymphoma,3.0,2.0,NHS Ayrshire and Arran,S92000003
