,Quarter,HB_x,HBT,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,HBName,HBDateArchived,Country
2693,2014Q2,S08000031,S08000031,Cervical,16.0,16.0,NHS Greater Glasgow and Clyde,,S92000003
2694,2014Q2,S08000031,S08000031,Colorectal,204.0,198.0,NHS Greater Glasgow and Clyde,,S92000003
2695,2014Q2,S08000031,S08000031,Head & Neck,70.0,63.0,NHS Greater Glasgow and Clyde,,S92000003
2696,2014Q2,S08000031,S08000031,Lung,250.0,248.0,NHS Greater Glasgow and Clyde,,S92000003
2697,2014Q2,S08000031,S08000031,Lymphoma,63.0,63.0,NHS Greater Glasgow and Clyde,,S92000003
2698,2014Q2,S08000031,S08000031,Melanoma,67.0,67.0,NHS Greater Glasgow and Clyde,,S92000003
2699,2014Q2,S08000031,S08000031,Ovarian,18.0,18.0,NHS Greater Glasgow and Clyde,,S92000003
2700,2014Q2,S08000031,S08000031,Upper GI,125.0,123.0,NHS Greater Glasgow and Clyde,,S92000003
2701,2014Q2,S08000031,S08000031,Urological,291.0,257.0,NHS Greater Glasgow and Clyde,,S92000003
2702,2014Q2,S08000032,S08000031,Breast,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2703,2014Q2,S08000032,S08000031,Cervical,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2704,2014Q2,S08000032,S08000031,Colorectal,12.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2705,2014Q2,S08000032,S08000031,Head & Neck,15.0,12.0,NHS Greater Glasgow and Clyde,,S92000003
2706,2014Q2,S08000032,S08000031,Lung,31.0,30.0,NHS Greater Glasgow and Clyde,,S92000003
2707,2014Q2,S08000032,S08000031,Lymphoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2708,2014Q2,S08000032,S08000031,Melanoma,6.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2709,2014Q2,S08000032,S08000031,Ovarian,11.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2710,2014Q2,S08000032,S08000031,Upper GI,20.0,20.0,NHS Greater Glasgow and Clyde,,S92000003
2711,2014Q2,S08000032,S08000031,Urological,9.0,7.0,NHS Greater Glasgow and Clyde,,S92000003
2712,2014Q3,S08000015,S08000031,Breast,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2713,2014Q3,S08000015,S08000031,Cervical,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2714,2014Q3,S08000015,S08000031,Colorectal,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2715,2014Q3,S08000015,S08000031,Head & Neck,14.0,14.0,NHS Greater Glasgow and Clyde,,S92000003
2716,2014Q3,S08000015,S08000031,Lung,12.0,12.0,NHS Greater Glasgow and Clyde,,S92000003
2717,2014Q3,S08000015,S08000031,Melanoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2718,2014Q3,S08000015,S08000031,Ovarian,10.0,10.0,NHS Greater Glasgow and Clyde,,S92000003
2719,2014Q3,S08000015,S08000031,Upper GI,13.0,13.0,NHS Greater Glasgow and Clyde,,S92000003
2720,2014Q3,S08000015,S08000031,Urological,7.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2721,2014Q3,S08000017,S08000031,Head & Neck,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2722,2014Q3,S08000017,S08000031,Urological,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2723,2014Q3,S08000019,S08000031,Breast,4.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2724,2014Q3,S08000019,S08000031,Cervical,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2725,2014Q3,S08000019,S08000031,Colorectal,6.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2726,2014Q3,S08000019,S08000031,Head & Neck,9.0,7.0,NHS Greater Glasgow and Clyde,,S92000003
2727,2014Q3,S08000019,S08000031,Lung,16.0,15.0,NHS Greater Glasgow and Clyde,,S92000003
2728,2014Q3,S08000019,S08000031,Lymphoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2729,2014Q3,S08000019,S08000031,Ovarian,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2730,2014Q3,S08000019,S08000031,Upper GI,9.0,9.0,NHS Greater Glasgow and Clyde,,S92000003
2731,2014Q3,S08000019,S08000031,Urological,9.0,9.0,NHS Greater Glasgow and Clyde,,S92000003
2732,2014Q3,S08000022,S08000031,Cervical,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2733,2014Q3,S08000022,S08000031,Colorectal,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2734,2014Q3,S08000022,S08000031,Head & Neck,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2735,2014Q3,S08000022,S08000031,Upper GI,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2736,2014Q3,S08000022,S08000031,Urological,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2737,2014Q3,S08000028,S08000031,Colorectal,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2738,2014Q3,S08000028,S08000031,Lung,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2739,2014Q3,S08000031,S08000031,Breast,347.0,312.0,NHS Greater Glasgow and Clyde,,S92000003
2740,2014Q3,S08000031,S08000031,Cervical,8.0,8.0,NHS Greater Glasgow and Clyde,,S92000003
2741,2014Q3,S08000031,S08000031,Colorectal,227.0,220.0,NHS Greater Glasgow and Clyde,,S92000003
2742,2014Q3,S08000031,S08000031,Head & Neck,83.0,83.0,NHS Greater Glasgow and Clyde,,S92000003
2743,2014Q3,S08000031,S08000031,Lung,268.0,268.0,NHS Greater Glasgow and Clyde,,S92000003
2744,2014Q3,S08000031,S08000031,Lymphoma,72.0,72.0,NHS Greater Glasgow and Clyde,,S92000003
2745,2014Q3,S08000031,S08000031,Melanoma,76.0,76.0,NHS Greater Glasgow and Clyde,,S92000003
2746,2014Q3,S08000031,S08000031,Ovarian,24.0,24.0,NHS Greater Glasgow and Clyde,,S92000003
2747,2014Q3,S08000031,S08000031,Upper GI,130.0,126.0,NHS Greater Glasgow and Clyde,,S92000003
2748,2014Q3,S08000031,S08000031,Urological,284.0,250.0,NHS Greater Glasgow and Clyde,,S92000003
2749,2014Q3,S08000032,S08000031,Breast,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2750,2014Q3,S08000032,S08000031,Cervical,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2751,2014Q3,S08000032,S08000031,Colorectal,8.0,8.0,NHS Greater Glasgow and Clyde,,S92000003
2752,2014Q3,S08000032,S08000031,Head & Neck,11.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2753,2014Q3,S08000032,S08000031,Lung,25.0,25.0,NHS Greater Glasgow and Clyde,,S92000003
2754,2014Q3,S08000032,S08000031,Lymphoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2755,2014Q3,S08000032,S08000031,Melanoma,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2756,2014Q3,S08000032,S08000031,Ovarian,4.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2757,2014Q3,S08000032,S08000031,Upper GI,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2758,2014Q3,S08000032,S08000031,Urological,7.0,7.0,NHS Greater Glasgow and Clyde,,S92000003
2759,2014Q4,S08000015,S08000031,Breast,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2760,2014Q4,S08000015,S08000031,Cervical,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2761,2014Q4,S08000015,S08000031,Colorectal,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2762,2014Q4,S08000015,S08000031,Head & Neck,7.0,7.0,NHS Greater Glasgow and Clyde,,S92000003
2763,2014Q4,S08000015,S08000031,Lung,21.0,21.0,NHS Greater Glasgow and Clyde,,S92000003
2764,2014Q4,S08000015,S08000031,Melanoma,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2765,2014Q4,S08000015,S08000031,Ovarian,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2766,2014Q4,S08000015,S08000031,Upper GI,13.0,13.0,NHS Greater Glasgow and Clyde,,S92000003
2767,2014Q4,S08000015,S08000031,Urological,7.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2768,2014Q4,S08000017,S08000031,Head & Neck,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2769,2014Q4,S08000017,S08000031,Lymphoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2770,2014Q4,S08000019,S08000031,Cervical,4.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2771,2014Q4,S08000019,S08000031,Colorectal,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2772,2014Q4,S08000019,S08000031,Head & Neck,7.0,7.0,NHS Greater Glasgow and Clyde,,S92000003
2773,2014Q4,S08000019,S08000031,Lung,16.0,16.0,NHS Greater Glasgow and Clyde,,S92000003
2774,2014Q4,S08000019,S08000031,Ovarian,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2775,2014Q4,S08000019,S08000031,Upper GI,9.0,9.0,NHS Greater Glasgow and Clyde,,S92000003
2776,2014Q4,S08000019,S08000031,Urological,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2777,2014Q4,S08000020,S08000031,Upper GI,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2778,2014Q4,S08000022,S08000031,Colorectal,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2779,2014Q4,S08000022,S08000031,Lung,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2780,2014Q4,S08000022,S08000031,Lymphoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2781,2014Q4,S08000022,S08000031,Upper GI,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2782,2014Q4,S08000022,S08000031,Urological,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2783,2014Q4,S08000031,S08000031,Breast,340.0,333.0,NHS Greater Glasgow and Clyde,,S92000003
2784,2014Q4,S08000031,S08000031,Cervical,18.0,18.0,NHS Greater Glasgow and Clyde,,S92000003
2785,2014Q4,S08000031,S08000031,Colorectal,178.0,175.0,NHS Greater Glasgow and Clyde,,S92000003
2786,2014Q4,S08000031,S08000031,Head & Neck,85.0,82.0,NHS Greater Glasgow and Clyde,,S92000003
2787,2014Q4,S08000031,S08000031,Lung,240.0,240.0,NHS Greater Glasgow and Clyde,,S92000003
2788,2014Q4,S08000031,S08000031,Lymphoma,66.0,66.0,NHS Greater Glasgow and Clyde,,S92000003
2789,2014Q4,S08000031,S08000031,Melanoma,77.0,77.0,NHS Greater Glasgow and Clyde,,S92000003
2790,2014Q4,S08000031,S08000031,Ovarian,20.0,20.0,NHS Greater Glasgow and Clyde,,S92000003
2791,2014Q4,S08000031,S08000031,Upper GI,117.0,114.0,NHS Greater Glasgow and Clyde,,S92000003
2792,2014Q4,S08000031,S08000031,Urological,286.0,257.0,NHS Greater Glasgow and Clyde,,S92000003
2793,2014Q4,S08000032,S08000031,Breast,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2794,2014Q4,S08000032,S08000031,Cervical,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2795,2014Q4,S08000032,S08000031,Colorectal,11.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2796,2014Q4,S08000032,S08000031,Head & Neck,12.0,12.0,NHS Greater Glasgow and Clyde,,S92000003
2797,2014Q4,S08000032,S08000031,Lung,16.0,16.0,NHS Greater Glasgow and Clyde,,S92000003
2798,2014Q4,S08000032,S08000031,Melanoma,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2799,2014Q4,S08000032,S08000031,Ovarian,8.0,8.0,NHS Greater Glasgow and Clyde,,S92000003
2800,2014Q4,S08000032,S08000031,Upper GI,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2801,2014Q4,S08000032,S08000031,Urological,15.0,14.0,NHS Greater Glasgow and Clyde,,S92000003
2802,2015Q1,S08000015,S08000031,Breast,4.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2803,2015Q1,S08000015,S08000031,Cervical,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2804,2015Q1,S08000015,S08000031,Colorectal,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2805,2015Q1,S08000015,S08000031,Head & Neck,11.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2806,2015Q1,S08000015,S08000031,Lung,14.0,14.0,NHS Greater Glasgow and Clyde,,S92000003
2807,2015Q1,S08000015,S08000031,Lymphoma,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2808,2015Q1,S08000015,S08000031,Melanoma,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2809,2015Q1,S08000015,S08000031,Ovarian,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2810,2015Q1,S08000015,S08000031,Upper GI,11.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2811,2015Q1,S08000015,S08000031,Urological,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2812,2015Q1,S08000017,S08000031,Head & Neck,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2813,2015Q1,S08000019,S08000031,Breast,1.0,0.0,NHS Greater Glasgow and Clyde,,S92000003
2814,2015Q1,S08000019,S08000031,Cervical,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2815,2015Q1,S08000019,S08000031,Colorectal,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2816,2015Q1,S08000019,S08000031,Head & Neck,12.0,12.0,NHS Greater Glasgow and Clyde,,S92000003
2817,2015Q1,S08000019,S08000031,Lung,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2818,2015Q1,S08000019,S08000031,Ovarian,4.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2819,2015Q1,S08000019,S08000031,Upper GI,7.0,7.0,NHS Greater Glasgow and Clyde,,S92000003
2820,2015Q1,S08000019,S08000031,Urological,4.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2821,2015Q1,S08000022,S08000031,Head & Neck,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2822,2015Q1,S08000022,S08000031,Lung,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2823,2015Q1,S08000022,S08000031,Upper GI,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2824,2015Q1,S08000022,S08000031,Urological,4.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2825,2015Q1,S08000028,S08000031,Cervical,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2826,2015Q1,S08000028,S08000031,Upper GI,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2827,2015Q1,S08000029,S08000031,Head & Neck,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2828,2015Q1,S08000031,S08000031,Breast,344.0,329.0,NHS Greater Glasgow and Clyde,,S92000003
2829,2015Q1,S08000031,S08000031,Cervical,11.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2830,2015Q1,S08000031,S08000031,Colorectal,187.0,185.0,NHS Greater Glasgow and Clyde,,S92000003
2831,2015Q1,S08000031,S08000031,Head & Neck,84.0,82.0,NHS Greater Glasgow and Clyde,,S92000003
2832,2015Q1,S08000031,S08000031,Lung,263.0,261.0,NHS Greater Glasgow and Clyde,,S92000003
2833,2015Q1,S08000031,S08000031,Lymphoma,82.0,82.0,NHS Greater Glasgow and Clyde,,S92000003
2834,2015Q1,S08000031,S08000031,Melanoma,57.0,57.0,NHS Greater Glasgow and Clyde,,S92000003
2835,2015Q1,S08000031,S08000031,Ovarian,19.0,19.0,NHS Greater Glasgow and Clyde,,S92000003
2836,2015Q1,S08000031,S08000031,Upper GI,127.0,127.0,NHS Greater Glasgow and Clyde,,S92000003
2837,2015Q1,S08000031,S08000031,Urological,293.0,262.0,NHS Greater Glasgow and Clyde,,S92000003
2838,2015Q1,S08000032,S08000031,Cervical,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2839,2015Q1,S08000032,S08000031,Colorectal,9.0,9.0,NHS Greater Glasgow and Clyde,,S92000003
2840,2015Q1,S08000032,S08000031,Head & Neck,14.0,14.0,NHS Greater Glasgow and Clyde,,S92000003
2841,2015Q1,S08000032,S08000031,Lung,39.0,38.0,NHS Greater Glasgow and Clyde,,S92000003
2842,2015Q1,S08000032,S08000031,Lymphoma,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2843,2015Q1,S08000032,S08000031,Melanoma,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2844,2015Q1,S08000032,S08000031,Ovarian,9.0,9.0,NHS Greater Glasgow and Clyde,,S92000003
2845,2015Q1,S08000032,S08000031,Upper GI,8.0,8.0,NHS Greater Glasgow and Clyde,,S92000003
2846,2015Q1,S08000032,S08000031,Urological,3.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2847,2015Q2,S08000015,S08000031,Breast,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2848,2015Q2,S08000015,S08000031,Cervical,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2849,2015Q2,S08000015,S08000031,Colorectal,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2850,2015Q2,S08000015,S08000031,Head & Neck,10.0,10.0,NHS Greater Glasgow and Clyde,,S92000003
2851,2015Q2,S08000015,S08000031,Lung,11.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2852,2015Q2,S08000015,S08000031,Melanoma,4.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2853,2015Q2,S08000015,S08000031,Ovarian,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2854,2015Q2,S08000015,S08000031,Upper GI,10.0,9.0,NHS Greater Glasgow and Clyde,,S92000003
2855,2015Q2,S08000015,S08000031,Urological,3.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2856,2015Q2,S08000017,S08000031,Head & Neck,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2857,2015Q2,S08000017,S08000031,Lymphoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2858,2015Q2,S08000017,S08000031,Upper GI,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2859,2015Q2,S08000017,S08000031,Urological,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2860,2015Q2,S08000019,S08000031,Breast,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2861,2015Q2,S08000019,S08000031,Cervical,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2862,2015Q2,S08000019,S08000031,Colorectal,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2863,2015Q2,S08000019,S08000031,Head & Neck,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2864,2015Q2,S08000019,S08000031,Lung,10.0,10.0,NHS Greater Glasgow and Clyde,,S92000003
2865,2015Q2,S08000019,S08000031,Lymphoma,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2866,2015Q2,S08000019,S08000031,Melanoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2867,2015Q2,S08000019,S08000031,Ovarian,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2868,2015Q2,S08000019,S08000031,Upper GI,7.0,7.0,NHS Greater Glasgow and Clyde,,S92000003
2869,2015Q2,S08000019,S08000031,Urological,4.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2870,2015Q2,S08000022,S08000031,Colorectal,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2871,2015Q2,S08000022,S08000031,Lung,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2872,2015Q2,S08000022,S08000031,Lymphoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2873,2015Q2,S08000022,S08000031,Melanoma,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2874,2015Q2,S08000022,S08000031,Upper GI,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2875,2015Q2,S08000022,S08000031,Urological,2.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2876,2015Q2,S08000028,S08000031,Head & Neck,2.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2877,2015Q2,S08000028,S08000031,Ovarian,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2878,2015Q2,S08000031,S08000031,Breast,291.0,268.0,NHS Greater Glasgow and Clyde,,S92000003
2879,2015Q2,S08000031,S08000031,Cervical,13.0,13.0,NHS Greater Glasgow and Clyde,,S92000003
2880,2015Q2,S08000031,S08000031,Colorectal,182.0,180.0,NHS Greater Glasgow and Clyde,,S92000003
2881,2015Q2,S08000031,S08000031,Head & Neck,90.0,86.0,NHS Greater Glasgow and Clyde,,S92000003
2882,2015Q2,S08000031,S08000031,Lung,266.0,263.0,NHS Greater Glasgow and Clyde,,S92000003
2883,2015Q2,S08000031,S08000031,Lymphoma,58.0,58.0,NHS Greater Glasgow and Clyde,,S92000003
2884,2015Q2,S08000031,S08000031,Melanoma,86.0,86.0,NHS Greater Glasgow and Clyde,,S92000003
2885,2015Q2,S08000031,S08000031,Ovarian,29.0,29.0,NHS Greater Glasgow and Clyde,,S92000003
2886,2015Q2,S08000031,S08000031,Upper GI,120.0,117.0,NHS Greater Glasgow and Clyde,,S92000003
2887,2015Q2,S08000031,S08000031,Urological,269.0,239.0,NHS Greater Glasgow and Clyde,,S92000003
2888,2015Q2,S08000032,S08000031,Breast,4.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2889,2015Q2,S08000032,S08000031,Cervical,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2890,2015Q2,S08000032,S08000031,Colorectal,6.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2891,2015Q2,S08000032,S08000031,Head & Neck,7.0,7.0,NHS Greater Glasgow and Clyde,,S92000003
2892,2015Q2,S08000032,S08000031,Lung,27.0,27.0,NHS Greater Glasgow and Clyde,,S92000003
2893,2015Q2,S08000032,S08000031,Lymphoma,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2894,2015Q2,S08000032,S08000031,Melanoma,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2895,2015Q2,S08000032,S08000031,Ovarian,10.0,10.0,NHS Greater Glasgow and Clyde,,S92000003
2896,2015Q2,S08000032,S08000031,Upper GI,8.0,8.0,NHS Greater Glasgow and Clyde,,S92000003
2897,2015Q2,S08000032,S08000031,Urological,9.0,9.0,NHS Greater Glasgow and Clyde,,S92000003
2898,2015Q3,S08000015,S08000031,Cervical,4.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2899,2015Q3,S08000015,S08000031,Colorectal,9.0,9.0,NHS Greater Glasgow and Clyde,,S92000003
2900,2015Q3,S08000015,S08000031,Head & Neck,8.0,8.0,NHS Greater Glasgow and Clyde,,S92000003
2901,2015Q3,S08000015,S08000031,Lung,21.0,21.0,NHS Greater Glasgow and Clyde,,S92000003
2902,2015Q3,S08000015,S08000031,Lymphoma,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2903,2015Q3,S08000015,S08000031,Melanoma,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
2904,2015Q3,S08000015,S08000031,Ovarian,7.0,7.0,NHS Greater Glasgow and Clyde,,S92000003
2905,2015Q3,S08000015,S08000031,Upper GI,21.0,20.0,NHS Greater Glasgow and Clyde,,S92000003
2906,2015Q3,S08000015,S08000031,Urological,7.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2907,2015Q3,S08000017,S08000031,Head & Neck,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2908,2015Q3,S08000017,S08000031,Lymphoma,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2909,2015Q3,S08000017,S08000031,Upper GI,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2910,2015Q3,S08000019,S08000031,Cervical,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2911,2015Q3,S08000019,S08000031,Colorectal,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2912,2015Q3,S08000019,S08000031,Head & Neck,12.0,10.0,NHS Greater Glasgow and Clyde,,S92000003
2913,2015Q3,S08000019,S08000031,Lung,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2914,2015Q3,S08000019,S08000031,Lymphoma,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2915,2015Q3,S08000019,S08000031,Ovarian,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2916,2015Q3,S08000019,S08000031,Upper GI,14.0,14.0,NHS Greater Glasgow and Clyde,,S92000003
2917,2015Q3,S08000022,S08000031,Breast,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2918,2015Q3,S08000022,S08000031,Lung,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2919,2015Q3,S08000022,S08000031,Upper GI,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2920,2015Q3,S08000028,S08000031,Colorectal,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2921,2015Q3,S08000031,S08000031,Breast,327.0,298.0,NHS Greater Glasgow and Clyde,,S92000003
2922,2015Q3,S08000031,S08000031,Cervical,6.0,6.0,NHS Greater Glasgow and Clyde,,S92000003
2923,2015Q3,S08000031,S08000031,Colorectal,147.0,143.0,NHS Greater Glasgow and Clyde,,S92000003
2924,2015Q3,S08000031,S08000031,Head & Neck,104.0,97.0,NHS Greater Glasgow and Clyde,,S92000003
2925,2015Q3,S08000031,S08000031,Lung,247.0,247.0,NHS Greater Glasgow and Clyde,,S92000003
2926,2015Q3,S08000031,S08000031,Lymphoma,66.0,66.0,NHS Greater Glasgow and Clyde,,S92000003
2927,2015Q3,S08000031,S08000031,Melanoma,96.0,96.0,NHS Greater Glasgow and Clyde,,S92000003
2928,2015Q3,S08000031,S08000031,Ovarian,27.0,27.0,NHS Greater Glasgow and Clyde,,S92000003
2929,2015Q3,S08000031,S08000031,Upper GI,127.0,121.0,NHS Greater Glasgow and Clyde,,S92000003
2930,2015Q3,S08000031,S08000031,Urological,277.0,228.0,NHS Greater Glasgow and Clyde,,S92000003
2931,2015Q3,S08000032,S08000031,Breast,4.0,4.0,NHS Greater Glasgow and Clyde,,S92000003
2932,2015Q3,S08000032,S08000031,Cervical,8.0,8.0,NHS Greater Glasgow and Clyde,,S92000003
2933,2015Q3,S08000032,S08000031,Colorectal,11.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2934,2015Q3,S08000032,S08000031,Head & Neck,19.0,19.0,NHS Greater Glasgow and Clyde,,S92000003
2935,2015Q3,S08000032,S08000031,Lung,28.0,28.0,NHS Greater Glasgow and Clyde,,S92000003
2936,2015Q3,S08000032,S08000031,Melanoma,3.0,3.0,NHS Greater Glasgow and Clyde,,S92000003
2937,2015Q3,S08000032,S08000031,Ovarian,11.0,11.0,NHS Greater Glasgow and Clyde,,S92000003
2938,2015Q3,S08000032,S08000031,Upper GI,9.0,9.0,NHS Greater Glasgow and Clyde,,S92000003
2939,2015Q3,S08000032,S08000031,Urological,9.0,8.0,NHS Greater Glasgow and Clyde,,S92000003
2940,2015Q4,S08000015,S08000031,Cervical,1.0,1.0,NHS Greater Glasgow and Clyde,,S92000003
2941,2015Q4,S08000015,S08000031,Colorectal,2.0,2.0,NHS Greater Glasgow and Clyde,,S92000003
2942,2015Q4,S08000015,S08000031,Head & Neck,5.0,5.0,NHS Greater Glasgow and Clyde,,S92000003
